,location,total_sqft,bath,price,bhk
60,7th Phase JP Nagar,2225.0,3.0,160.0,3
61,7th Phase JP Nagar,1050.0,2.0,71.0,2
62,7th Phase JP Nagar,918.0,2.0,50.49,2
63,7th Phase JP Nagar,1450.0,2.0,100.0,3
64,7th Phase JP Nagar,1420.0,2.0,96.0,3
65,7th Phase JP Nagar,1680.0,3.0,120.0,3
66,7th Phase JP Nagar,980.0,2.0,69.0,2
67,7th Phase JP Nagar,1180.0,2.0,72.0,2
69,7th Phase JP Nagar,1270.0,2.0,83.0,2
70,7th Phase JP Nagar,2503.0,4.0,188.0,4
71,7th Phase JP Nagar,1575.0,2.0,110.0,3
72,7th Phase JP Nagar,1850.0,3.0,140.0,3
73,7th Phase JP Nagar,1680.0,3.0,120.0,3
74,7th Phase JP Nagar,1175.0,2.0,82.5,2
75,7th Phase JP Nagar,1215.0,2.0,90.0,2
76,7th Phase JP Nagar,1050.0,2.0,75.0,2
77,7th Phase JP Nagar,1300.0,3.0,89.13,3
78,7th Phase JP Nagar,1130.0,2.0,73.0,2
79,7th Phase JP Nagar,1450.0,3.0,100.0,3
80,7th Phase JP Nagar,1275.0,2.0,87.0,2
82,7th Phase JP Nagar,1680.0,3.0,117.0,3
83,7th Phase JP Nagar,1680.0,3.0,125.0,3
84,7th Phase JP Nagar,1000.0,2.0,61.0,2
85,7th Phase JP Nagar,1460.0,2.0,100.0,3
87,7th Phase JP Nagar,1000.0,2.0,70.65,2
88,7th Phase JP Nagar,1080.0,2.0,75.0,2
89,7th Phase JP Nagar,1680.0,3.0,125.0,3
91,7th Phase JP Nagar,1120.0,2.0,65.0,2
92,7th Phase JP Nagar,1100.0,3.0,60.0,2
94,7th Phase JP Nagar,1680.0,3.0,117.0,3
95,7th Phase JP Nagar,1050.0,2.0,77.0,2
96,7th Phase JP Nagar,1050.0,2.0,75.0,2
97,7th Phase JP Nagar,1040.0,2.0,75.0,2
98,7th Phase JP Nagar,1400.0,2.0,95.0,3
99,7th Phase JP Nagar,1800.0,3.0,130.0,3
100,7th Phase JP Nagar,1050.0,2.0,68.0,2
101,7th Phase JP Nagar,1000.0,2.0,60.0,2
102,7th Phase JP Nagar,1680.0,3.0,125.0,3
103,7th Phase JP Nagar,1050.0,2.0,77.47,2
104,7th Phase JP Nagar,1270.0,2.0,80.0,2
105,7th Phase JP Nagar,1680.0,3.0,122.0,3
106,7th Phase JP Nagar,1130.0,2.0,85.0,2
108,7th Phase JP Nagar,2095.0,3.0,150.0,3
109,7th Phase JP Nagar,1976.0,3.0,145.0,3
110,7th Phase JP Nagar,1600.0,2.0,110.0,3
112,7th Phase JP Nagar,1275.0,2.0,88.0,3
113,7th Phase JP Nagar,1450.0,2.0,102.0,3
114,7th Phase JP Nagar,1575.0,2.0,110.0,3
115,7th Phase JP Nagar,750.0,1.0,47.0,1
116,7th Phase JP Nagar,1000.0,1.0,60.0,1
118,7th Phase JP Nagar,1430.0,2.0,102.0,3
120,7th Phase JP Nagar,1530.0,2.0,108.0,2
121,8th Phase JP Nagar,1073.5,2.0,54.005,2
123,8th Phase JP Nagar,1062.0,2.0,42.47,2
125,8th Phase JP Nagar,1455.0,3.0,73.31,3
126,8th Phase JP Nagar,1098.0,2.0,43.91,2
127,8th Phase JP Nagar,1800.0,3.0,80.0,3
128,8th Phase JP Nagar,2700.0,4.0,130.0,4
129,8th Phase JP Nagar,1080.0,2.0,38.0,2
130,8th Phase JP Nagar,1062.0,2.0,42.47,2
131,8th Phase JP Nagar,2100.0,4.0,92.0,4
132,8th Phase JP Nagar,1035.0,2.0,39.33,2
133,8th Phase JP Nagar,909.0,2.0,40.9,2
134,8th Phase JP Nagar,1431.5,3.0,72.02,3
135,8th Phase JP Nagar,1900.0,4.0,90.0,3
136,8th Phase JP Nagar,1089.0,2.0,43.55,2
138,8th Phase JP Nagar,1504.0,2.0,83.0,3
139,8th Phase JP Nagar,2600.0,4.0,115.0,4
141,8th Phase JP Nagar,1089.0,2.0,43.55,2
143,8th Phase JP Nagar,1513.0,2.0,62.0,2
144,8th Phase JP Nagar,1298.0,2.0,59.0,2
145,8th Phase JP Nagar,1006.0,2.0,44.0,2
146,8th Phase JP Nagar,1245.0,2.0,59.0,2
147,8th Phase JP Nagar,1510.0,2.0,80.0,2
148,8th Phase JP Nagar,3300.0,3.0,165.0,3
149,8th Phase JP Nagar,1730.0,5.0,75.0,5
152,8th Phase JP Nagar,1046.0,2.0,48.0,2
155,9th Phase JP Nagar,1005.0,2.0,50.0,2
157,9th Phase JP Nagar,1035.0,2.0,45.0,2
158,9th Phase JP Nagar,1164.0,2.0,56.0,2
159,9th Phase JP Nagar,1005.0,2.0,42.0,2
160,9th Phase JP Nagar,1127.0,2.0,50.0,2
161,9th Phase JP Nagar,1005.0,2.0,43.0,2
162,9th Phase JP Nagar,835.0,2.0,37.0,2
163,9th Phase JP Nagar,660.0,2.0,27.0,2
164,9th Phase JP Nagar,1466.0,2.0,71.0,2
165,9th Phase JP Nagar,1890.0,2.0,93.0,3
166,9th Phase JP Nagar,1480.0,2.0,80.0,2
167,9th Phase JP Nagar,1073.0,2.0,52.36,2
168,9th Phase JP Nagar,1719.3,2.0,88.0,3
169,9th Phase JP Nagar,1780.0,3.0,88.0,3
173,9th Phase JP Nagar,890.0,2.0,45.0,2
174,9th Phase JP Nagar,1331.95,2.0,69.0,2
175,AECS Layout,1199.0,2.0,65.0,2
176,AECS Layout,1080.0,2.0,55.0,2
177,AECS Layout,1308.0,2.0,60.0,2
178,AECS Layout,2000.0,3.0,90.0,3
179,Abbigere,985.0,2.0,40.39,2
180,Abbigere,765.0,2.0,30.0,1
181,Abbigere,880.0,2.0,35.0,2
182,Abbigere,795.0,2.0,32.54,2
183,Abbigere,1005.0,2.0,39.59,2
185,Abbigere,1020.0,2.0,41.82,2
186,Abbigere,985.0,2.0,40.39,2
187,Abbigere,795.0,2.0,32.54,2
188,Abbigere,1130.0,2.0,46.33,2
189,Abbigere,795.0,1.0,32.6,2
190,Abbigere,985.0,2.0,38.92,2
191,Abbigere,1000.0,2.0,41.0,2
192,Abbigere,995.0,2.0,40.8,2
193,Abbigere,1020.0,2.0,40.8,2
194,Akshaya Nagar,1070.0,2.0,54.0,2
195,Akshaya Nagar,1662.0,3.0,85.1,3
196,Akshaya Nagar,1410.0,2.0,75.0,3
197,Akshaya Nagar,1662.0,3.0,85.0,3
198,Akshaya Nagar,1662.0,3.0,85.5,3
199,Akshaya Nagar,1280.0,2.0,60.0,2
200,Akshaya Nagar,1430.0,2.0,75.0,3
201,Akshaya Nagar,1419.0,2.0,73.0,3
202,Akshaya Nagar,1280.0,2.0,60.0,2
203,Akshaya Nagar,1092.0,2.0,60.0,2
207,Akshaya Nagar,1884.0,3.0,98.0,3
208,Akshaya Nagar,1314.0,2.0,68.8,2
210,Akshaya Nagar,1265.0,2.0,67.0,2
211,Akshaya Nagar,1126.0,2.0,55.0,2
212,Akshaya Nagar,1662.0,3.0,90.0,3
213,Akshaya Nagar,1420.0,2.0,75.0,3
214,Akshaya Nagar,1890.0,4.0,100.0,3
217,Akshaya Nagar,1113.0,2.0,52.0,2
218,Akshaya Nagar,1820.0,4.0,95.0,3
219,Akshaya Nagar,1896.0,3.0,102.0,3
220,Akshaya Nagar,1300.0,2.0,66.0,2
221,Akshaya Nagar,1225.0,2.0,68.0,2
222,Akshaya Nagar,1421.0,2.0,73.0,3
224,Akshaya Nagar,900.0,2.0,45.0,2
225,Ambalipura,1800.0,3.0,110.0,3
226,Ambalipura,1332.0,2.0,79.0,2
228,Ambalipura,1230.0,2.0,66.25,2
229,Ambalipura,1351.0,2.0,77.0,2
230,Ambalipura,2550.0,4.0,149.0,4
232,Ambalipura,1303.0,2.0,80.0,2
233,Ambalipura,770.0,1.0,43.82,1
234,Ambalipura,1060.0,2.0,58.5,2
235,Ambalipura,1650.0,3.0,100.0,3
236,Ambalipura,1198.0,2.0,80.0,2
237,Ambedkar Nagar,1935.0,4.0,130.0,3
238,Ambedkar Nagar,1424.0,2.0,90.0,2
239,Ambedkar Nagar,1862.0,3.0,120.0,3
240,Ambedkar Nagar,1936.0,4.0,126.0,3
241,Ambedkar Nagar,1862.0,3.0,119.0,3
242,Ambedkar Nagar,1424.0,2.0,90.0,2
243,Ambedkar Nagar,1856.0,3.0,120.0,3
244,Ambedkar Nagar,1852.0,3.0,130.0,3
245,Ambedkar Nagar,1850.0,4.0,120.0,3
246,Ambedkar Nagar,1367.0,2.0,86.0,2
247,Ambedkar Nagar,1409.0,2.0,95.0,2
248,Ambedkar Nagar,1950.0,4.0,120.0,3
249,Ambedkar Nagar,1921.0,4.0,129.0,3
250,Ambedkar Nagar,1920.0,4.0,121.0,3
251,Ambedkar Nagar,1935.0,4.0,125.0,3
252,Ambedkar Nagar,1852.0,4.0,122.0,3
253,Ambedkar Nagar,1950.0,4.0,120.0,3
254,Ambedkar Nagar,1852.0,3.0,125.0,3
255,Ambedkar Nagar,1850.0,4.0,121.0,3
256,Ambedkar Nagar,1425.0,2.0,94.0,2
257,Ambedkar Nagar,2395.0,4.0,150.0,3
258,Amruthahalli,900.0,2.0,40.0,2
259,Amruthahalli,1200.0,2.0,55.0,2
260,Amruthahalli,924.0,2.0,45.0,2
261,Amruthahalli,1200.0,2.0,55.0,2
264,Amruthahalli,1450.0,2.0,85.0,3
265,Amruthahalli,1200.0,2.0,55.0,2
266,Amruthahalli,1190.0,2.0,50.0,2
267,Amruthahalli,1202.0,2.0,65.0,2
268,Amruthahalli,1340.0,2.0,75.0,2
269,Anandapura,1167.0,2.0,43.76,2
270,Anandapura,1141.0,2.0,42.79,2
272,Anandapura,1200.0,2.0,58.0,2
273,Anandapura,1151.0,2.0,43.1,2
274,Anandapura,1141.0,2.0,42.75,2
275,Anandapura,1151.0,2.0,42.9,2
277,Anandapura,1151.0,2.0,43.16,2
278,Anandapura,1200.0,2.0,58.0,2
279,Anandapura,1200.0,2.0,50.0,2
280,Anandapura,1141.0,2.0,50.0,2
282,Ananth Nagar,500.0,1.0,14.0,1
283,Ananth Nagar,1100.0,2.0,31.5,2
284,Ananth Nagar,500.0,2.0,14.0,1
285,Ananth Nagar,908.0,2.0,26.0,2
286,Ananth Nagar,500.0,1.0,14.0,1
287,Ananth Nagar,1000.0,2.0,29.7,2
288,Ananth Nagar,850.0,2.0,25.99,2
289,Ananth Nagar,902.0,2.0,25.26,2
290,Ananth Nagar,810.0,2.0,25.5,2
291,Ananth Nagar,890.0,2.0,27.0,2
292,Ananth Nagar,1200.0,2.0,36.0,2
294,Ananth Nagar,1319.0,3.0,42.0,3
295,Ananth Nagar,902.0,2.0,25.0,2
296,Ananth Nagar,930.0,2.0,25.99,2
297,Ananth Nagar,500.0,1.0,14.0,1
298,Anekal,1200.0,1.0,36.0,2
299,Anekal,656.0,2.0,22.0,2
300,Anekal,620.0,2.0,22.0,2
301,Anekal,530.0,1.0,18.0,1
302,Anekal,1800.0,3.0,68.0,3
303,Anekal,1200.0,1.0,36.0,2
304,Anekal,1035.0,2.0,38.3,2
305,Anekal,888.0,2.0,34.0,2
306,Anekal,1200.0,2.0,36.1,2
307,Anekal,1200.0,1.0,36.0,2
308,Anekal,1200.0,2.0,36.0,4
309,Anekal,766.0,2.0,28.0,2
310,Anekal,620.0,1.0,23.5,2
311,Anekal,1150.0,3.0,45.0,3
312,Anekal,1200.0,1.0,36.0,2
313,Anekal,1200.0,1.0,36.0,2
314,Anekal,456.0,1.0,15.0,1
315,Anekal,1200.0,1.0,36.0,2
316,Anekal,1200.0,1.0,36.0,2
317,Anekal,2400.0,4.0,95.0,3
318,Anekal,1200.0,2.0,36.1,2
319,Anekal,1200.0,2.0,36.1,2
320,Anekal,680.0,1.0,21.0,2
321,Anekal,420.0,1.0,12.5,1
322,Anekal,625.0,1.0,25.0,2
323,Anjanapura,1850.0,4.0,86.0,4
324,Anjanapura,1070.0,2.0,39.0,2
325,Anjanapura,1070.0,2.0,37.0,2
326,Anjanapura,950.0,2.0,40.0,2
327,Anjanapura,1280.0,2.0,45.0,3
328,Anjanapura,710.0,2.0,25.0,2
330,Anjanapura,950.0,2.0,32.0,2
331,Anjanapura,1800.0,4.0,55.0,4
332,Anjanapura,1843.0,3.0,87.54,3
333,Anjanapura,1076.0,2.0,30.13,2
334,Anjanapura,950.0,2.0,30.0,2
335,Ardendale,1750.0,3.0,100.0,3
336,Ardendale,3198.0,4.0,200.0,4
337,Ardendale,1750.0,3.0,100.0,3
338,Ardendale,3200.0,4.0,205.0,4
339,Ardendale,1728.0,3.0,95.0,3
340,Ardendale,1732.46,3.0,92.0,3
341,Ardendale,1224.0,2.0,70.0,2
342,Ardendale,1777.26,3.0,105.0,3
343,Ardendale,1224.0,2.0,67.0,2
344,Ardendale,1723.0,3.0,95.0,3
345,Ardendale,1777.26,3.0,92.0,3
346,Arekere,1740.0,2.0,95.0,3
347,Arekere,1190.0,2.0,55.0,2
348,Arekere,600.0,1.0,28.0,1
349,Arekere,2072.0,3.0,108.0,3
350,Arekere,1100.0,2.0,55.0,2
351,Arekere,900.0,2.0,50.0,2
352,Arekere,2710.0,6.0,142.0,4
353,Arekere,1240.0,2.0,60.0,2
354,Arekere,900.0,2.0,44.5,2
355,Attibele,450.0,1.0,11.0,1
356,Attibele,1600.0,4.0,52.8,4
357,Attibele,656.0,2.0,25.0,2
358,Attibele,400.0,1.0,11.0,1
359,Attibele,400.0,1.0,12.0,1
360,Attibele,400.0,1.0,14.0,1
361,Attibele,500.0,1.0,17.0,1
362,Attibele,395.0,1.0,10.25,1
364,Attibele,418.0,1.0,12.0,1
365,Attibele,1200.0,2.0,42.0,2
366,Attibele,400.0,1.0,10.0,1
367,Attibele,695.0,1.0,25.0,2
368,Attibele,850.0,1.0,25.0,2
369,Attibele,450.0,1.0,12.5,1
373,Attibele,782.0,1.0,19.55,1
375,Attibele,656.0,2.0,25.0,2
376,Attibele,400.0,1.0,11.5,1
377,Attibele,460.0,1.0,13.0,1
378,Attibele,418.0,2.0,11.5,1
380,Attibele,410.0,1.0,10.0,1
381,Attibele,1700.0,3.0,65.0,3
382,Attibele,400.0,1.0,10.25,1
383,Attibele,656.0,2.0,25.0,2
384,Attibele,520.0,1.0,15.0,1
385,BEML Layout,1060.0,2.0,55.0,2
386,BEML Layout,2000.0,3.0,85.0,3
387,BEML Layout,999.0,2.0,45.0,2
388,BEML Layout,2000.0,2.0,85.0,3
389,BEML Layout,1194.0,2.0,65.0,2
390,BEML Layout,1200.0,2.0,67.0,2
391,BEML Layout,2000.0,3.0,85.0,3
392,BEML Layout,2000.0,3.0,85.0,3
393,BEML Layout,1194.0,2.0,65.0,2
394,BTM 2nd Stage,950.0,2.0,52.0,2
395,BTM 2nd Stage,1850.0,3.0,170.0,3
396,BTM 2nd Stage,1200.0,2.0,80.0,2
397,BTM 2nd Stage,1274.0,2.0,70.0,2
398,BTM 2nd Stage,1070.0,2.0,48.0,2
399,BTM 2nd Stage,1280.0,2.0,80.0,2
400,BTM 2nd Stage,1100.0,2.0,70.0,2
401,BTM 2nd Stage,1000.0,2.0,58.0,2
402,BTM 2nd Stage,1265.0,2.0,55.0,2
403,BTM 2nd Stage,2200.0,3.0,220.0,3
404,BTM 2nd Stage,965.0,2.0,56.0,2
405,BTM 2nd Stage,1147.0,2.0,75.0,2
406,BTM 2nd Stage,1750.0,3.0,172.0,3
407,BTM 2nd Stage,1400.0,2.0,90.0,2
408,BTM 2nd Stage,1200.0,2.0,70.0,2
409,BTM 2nd Stage,1100.0,2.0,47.0,2
410,BTM 2nd Stage,930.0,2.0,46.0,2
412,BTM Layout,1150.0,2.0,63.0,2
413,BTM Layout,3300.0,6.0,165.0,6
414,BTM Layout,1450.0,2.0,81.0,3
415,BTM Layout,1458.0,3.0,79.0,3
416,BTM Layout,935.0,2.0,51.5,2
417,BTM Layout,1020.0,2.0,46.5,2
418,BTM Layout,1300.0,2.0,75.0,3
419,BTM Layout,1540.0,2.0,78.0,3
420,BTM Layout,1196.0,2.0,56.81,2
422,Babusapalaya,1611.0,2.0,66.0,3
424,Babusapalaya,1141.0,2.0,46.0,2
425,Babusapalaya,1500.0,2.0,57.0,2
426,Babusapalaya,1141.0,2.0,45.9,2
427,Babusapalaya,1105.0,2.0,40.0,2
428,Babusapalaya,1450.0,2.0,55.99,2
429,Babusapalaya,1100.0,2.0,38.0,2
430,Babusapalaya,1061.0,2.0,38.95,2
431,Badavala Nagar,1494.0,2.0,94.55,3
432,Badavala Nagar,1494.0,2.0,94.55,3
433,Badavala Nagar,1494.0,2.0,94.55,3
434,Balagere,1210.0,2.0,72.0,2
435,Balagere,1205.0,2.0,78.5,2
436,Balagere,1145.0,2.0,65.0,2
437,Balagere,1007.0,2.0,65.0,2
438,Balagere,1205.0,2.0,70.0,2
439,Balagere,1210.0,2.0,74.0,2
440,Balagere,675.0,1.0,45.0,1
441,Balagere,656.0,1.0,43.0,1
442,Balagere,1012.0,2.0,64.0,2
443,Balagere,1007.0,2.0,62.0,2
444,Balagere,1007.0,2.0,67.0,2
445,Balagere,1007.0,2.0,66.0,2
446,Balagere,1210.0,2.0,69.0,2
447,Balagere,1012.0,2.0,65.0,2
448,Balagere,656.0,1.0,38.77,1
449,Balagere,645.0,1.0,39.0,1
450,Balagere,645.0,1.0,41.0,1
451,Balagere,1205.0,2.0,73.87,2
452,Balagere,1205.0,2.0,67.0,2
453,Balagere,1205.0,2.0,79.0,2
454,Banashankari,1470.0,2.0,88.64,3
455,Banashankari,1300.0,2.0,75.0,3
456,Banashankari,1800.0,3.0,115.0,3
457,Banashankari,1125.0,2.0,63.0,2
459,Banashankari,1310.0,2.0,80.0,2
461,Banashankari,1260.0,2.0,75.0,2
462,Banashankari,1170.0,2.0,46.79,2
463,Banashankari,1350.0,2.0,83.0,3
464,Banashankari,1330.0,2.0,78.0,2
465,Banashankari,1400.0,2.0,78.0,3
466,Banashankari,1020.0,2.0,40.79,2
467,Banashankari,1600.0,2.0,63.98,2
468,Banashankari,1390.0,2.0,86.0,2
469,Banashankari,1460.0,2.0,70.0,2
470,Banashankari,1200.0,2.0,60.0,2
471,Banashankari,1290.0,2.0,80.0,2
472,Banashankari,1186.0,2.0,65.0,2
473,Banashankari,1650.0,3.0,101.0,3
475,Banashankari,1181.0,2.0,75.0,2
476,Banashankari,1040.0,2.0,45.0,2
477,Banashankari,1330.0,2.0,77.0,2
478,Banashankari,1200.0,2.0,49.0,2
479,Banashankari,1185.0,2.0,67.0,2
480,Banashankari,1000.0,2.0,50.0,2
481,Banashankari,1650.0,3.0,90.75,3
482,Banashankari,1650.0,3.0,101.0,3
483,Banashankari,1310.0,2.0,80.43,2
484,Banashankari,600.0,1.0,27.0,2
485,Banashankari,1430.0,2.0,87.8,2
486,Banashankari,1020.0,2.0,42.83,2
488,Banashankari,1683.0,3.0,115.0,3
489,Banashankari,1800.0,3.0,125.0,3
491,Banashankari,1770.0,3.0,108.0,3
492,Banashankari,1800.0,3.0,125.0,3
494,Banashankari,1200.0,3.0,74.52,3
495,Banashankari,1100.0,2.0,63.0,2
496,Banashankari,1020.0,2.0,40.79,2
497,Banashankari,1260.0,2.0,75.0,2
499,Banashankari,1426.0,3.0,85.0,3
500,Banashankari Stage II,1700.0,2.0,150.0,2
501,Banashankari Stage II,1200.0,2.0,150.0,4
502,Banashankari Stage II,1500.0,2.0,120.0,3
503,Banashankari Stage II,1250.0,2.0,110.0,2
504,Banashankari Stage II,1260.0,2.0,95.0,3
505,Banashankari Stage II,2400.0,2.0,300.0,3
506,Banashankari Stage II,1400.0,2.0,100.0,2
507,Banashankari Stage II,2800.0,3.0,425.0,5
508,Banashankari Stage II,3000.0,3.0,450.0,3
509,Banashankari Stage II,1245.0,2.0,125.0,2
510,Banashankari Stage III,1305.0,2.0,58.7,3
511,Banashankari Stage III,1145.0,2.0,58.4,2
512,Banashankari Stage III,1650.0,3.0,118.0,3
513,Banashankari Stage III,1350.0,2.0,68.0,3
515,Banashankari Stage III,1305.0,2.0,59.0,3
516,Banashankari Stage III,1305.0,2.0,60.0,3
517,Banashankari Stage III,1305.0,2.0,59.0,3
518,Banashankari Stage III,1480.0,3.0,75.48,3
519,Banashankari Stage III,1305.0,2.0,59.0,3
520,Banashankari Stage III,3000.0,6.0,150.0,6
521,Banashankari Stage III,1085.0,2.0,50.0,2
522,Banashankari Stage III,1500.0,2.0,100.0,3
523,Banashankari Stage III,2100.0,3.0,147.0,4
524,Banashankari Stage III,1420.0,2.0,95.0,3
525,Banashankari Stage V,1305.0,2.0,49.0,3
526,Banashankari Stage V,1035.0,2.0,35.77,2
527,Banashankari Stage V,1510.0,3.0,47.57,3
528,Banashankari Stage V,1650.0,3.0,51.98,3
529,Banashankari Stage V,1630.0,3.0,51.35,3
530,Banashankari Stage V,1510.0,3.0,47.57,3
531,Banashankari Stage V,1315.0,2.0,49.0,3
532,Banashankari Stage V,1540.0,3.0,48.51,3
533,Banashankari Stage VI,1177.5,2.0,59.935,2
534,Banashankari Stage VI,4800.0,4.0,190.0,4
535,Banashankari Stage VI,1160.0,2.0,59.0,2
536,Banashankari Stage VI,1180.0,2.0,59.47,2
537,Banashankari Stage VI,1423.0,2.0,71.73,3
538,Banashankari Stage VI,1392.0,3.0,69.46,3
539,Banashankari Stage VI,1410.5,2.0,70.385,3
540,Banashankari Stage VI,4800.0,3.0,200.0,4
541,Banaswadi,1145.0,2.0,55.0,2
542,Banaswadi,1250.0,2.0,60.0,2
543,Banaswadi,1365.0,2.0,73.0,2
544,Banaswadi,1200.0,2.0,60.0,2
546,Banaswadi,1340.0,2.0,73.0,2
547,Banaswadi,1008.0,2.0,52.0,2
548,Banaswadi,1105.0,2.0,57.0,2
549,Banjara Layout,1200.0,2.0,70.0,2
550,Banjara Layout,1050.0,2.0,64.8,2
551,Banjara Layout,2500.0,4.0,140.0,3
552,Bannerghatta,3012.0,6.0,250.0,4
553,Bannerghatta,1665.0,3.0,110.0,3
554,Bannerghatta,2370.0,4.0,195.0,3
555,Bannerghatta,1070.0,2.0,87.0,2
556,Bannerghatta,1776.0,3.0,124.0,3
557,Bannerghatta Road,1050.0,2.0,65.0,2
558,Bannerghatta Road,1170.0,2.0,66.0,3
559,Bannerghatta Road,595.0,1.0,33.32,1
561,Bannerghatta Road,1460.0,2.0,90.0,3
562,Bannerghatta Road,1179.0,2.0,66.02,2
563,Bannerghatta Road,1122.5,2.0,58.935,2
564,Bannerghatta Road,793.0,2.0,45.0,2
565,Bannerghatta Road,1400.0,2.0,78.0,2
566,Bannerghatta Road,2700.0,5.0,158.0,5
567,Bannerghatta Road,1654.0,3.0,100.0,3
568,Bannerghatta Road,1181.0,2.0,55.0,2
570,Bannerghatta Road,1200.0,2.0,75.0,2
571,Bannerghatta Road,595.0,1.0,31.83,1
572,Bannerghatta Road,1105.0,2.0,51.0,2
573,Bannerghatta Road,1255.0,2.0,65.26,2
577,Bannerghatta Road,912.0,2.0,55.0,2
578,Bannerghatta Road,1218.0,2.0,73.0,2
579,Bannerghatta Road,1115.0,2.0,65.12,2
581,Bannerghatta Road,1600.0,3.0,95.0,3
582,Bannerghatta Road,1275.0,2.0,65.0,2
583,Bannerghatta Road,892.0,2.0,39.0,2
585,Bannerghatta Road,1260.0,2.0,70.0,2
587,Bannerghatta Road,1150.0,2.0,65.0,2
590,Bannerghatta Road,1725.0,3.0,110.0,3
592,Bannerghatta Road,1486.0,3.0,83.22,3
594,Bannerghatta Road,1015.0,2.0,48.0,2
595,Bannerghatta Road,1115.0,2.0,61.0,2
596,Bannerghatta Road,1136.0,2.0,48.0,2
597,Bannerghatta Road,1200.0,2.0,69.0,3
599,Bannerghatta Road,1302.5,2.0,67.73,2
600,Bannerghatta Road,1200.0,2.0,65.0,2
601,Bannerghatta Road,1240.0,2.0,65.0,2
603,Bannerghatta Road,1532.5,3.0,84.29,3
604,Bannerghatta Road,1268.0,2.0,69.0,2
605,Bannerghatta Road,1450.0,2.0,87.0,3
607,Bannerghatta Road,960.0,2.0,58.0,2
608,Bannerghatta Road,1275.0,2.0,73.0,2
609,Bannerghatta Road,1240.0,2.0,71.0,2
611,Bannerghatta Road,1215.0,2.0,68.0,2
612,Bannerghatta Road,1215.0,2.0,68.0,2
613,Bannerghatta Road,1894.0,3.0,115.0,3
615,Bannerghatta Road,1280.0,2.0,60.16,2
617,Bannerghatta Road,630.0,1.0,35.0,1
618,Bannerghatta Road,1215.0,2.0,68.0,2
